VLK ,Metric
memory,{{ HOSTNAME }}.memory.memory-free
memory,{{ HOSTNAME }}.memory.memory-slab_recl
memory,{{ HOSTNAME }}.memory.memory-slab_unrecl
memory,{{ HOSTNAME }}.memory.memory-used
minio,{{ HOSTNAME }}.minio.counter-go_gc_duration_seconds
minio,{{ HOSTNAME }}.minio.counter-go_memstats_alloc_bytes_total
minio,{{ HOSTNAME }}.minio.counter-go_memstats_frees_total
minio,{{ HOSTNAME }}.minio.counter-go_memstats_lookups_total
minio,{{ HOSTNAME }}.minio.counter-go_memstats_mallocs_total
minio,{{ HOSTNAME }}.minio.counter-internode_rx_bytes_total
minio,{{ HOSTNAME }}.minio.counter-internode_tx_bytes_total
minio,{{ HOSTNAME }}.minio.counter-process_cpu_seconds_total
minio,{{ HOSTNAME }}.minio.counter-promhttp_metric_handler_requests_total_code=200
minio,{{ HOSTNAME }}.minio.counter-promhttp_metric_handler_requests_total_code=500
minio,{{ HOSTNAME }}.minio.counter-promhttp_metric_handler_requests_total_code=503
minio,{{ HOSTNAME }}.minio.counter-s3_requests_current_api=listobjectsv2
minio,{{ HOSTNAME }}.minio.counter-s3_requests_current_api=putbucket
minio,{{ HOSTNAME }}.minio.counter-s3_requests_total_api=listobjectsv2
minio,{{ HOSTNAME }}.minio.counter-s3_requests_total_api=putbucket
minio,{{ HOSTNAME }}.minio.counter-s3_rx_bytes_total
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=listobjectsv2
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=listobjectsv2&le=0.05
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=listobjectsv2&le=0.1
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=listobjectsv2&le=0.25
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=listobjectsv2&le=0.5
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=listobjectsv2&le=1
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=listobjectsv2&le=10
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=listobjectsv2&le=2.5
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=listobjectsv2&le=5
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=putbucket
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=putbucket&le=0.05
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=putbucket&le=0.1
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=putbucket&le=0.25
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=putbucket&le=0.5
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=putbucket&le=1
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=putbucket&le=10
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=putbucket&le=2.5
minio,{{ HOSTNAME }}.minio.counter-s3_ttfb_seconds_api=putbucket&le=5
minio,{{ HOSTNAME }}.minio.counter-s3_tx_bytes_total
minio,{{ HOSTNAME }}.minio.gauge-bucket_objects_count_bucket=turboscan
minio,{{ HOSTNAME }}.minio.gauge-bucket_objects_histogram_bucket=turboscan&object_size=BETWEEN_1024_B_AND_1_MB
minio,{{ HOSTNAME }}.minio.gauge-bucket_objects_histogram_bucket=turboscan&object_size=BETWEEN_10_MB_AND_64_MB
minio,{{ HOSTNAME }}.minio.gauge-bucket_objects_histogram_bucket=turboscan&object_size=BETWEEN_128_MB_AND_512_MB
minio,{{ HOSTNAME }}.minio.gauge-bucket_objects_histogram_bucket=turboscan&object_size=BETWEEN_1_MB_AND_10_MB
minio,{{ HOSTNAME }}.minio.gauge-bucket_objects_histogram_bucket=turboscan&object_size=BETWEEN_64_MB_AND_128_MB
minio,{{ HOSTNAME }}.minio.gauge-bucket_objects_histogram_bucket=turboscan&object_size=GREATER_THAN_512_MB
minio,{{ HOSTNAME }}.minio.gauge-bucket_objects_histogram_bucket=turboscan&object_size=LESS_THAN_1024_B
minio,{{ HOSTNAME }}.minio.gauge-bucket_replication_failed_count_bucket=turboscan
minio,{{ HOSTNAME }}.minio.gauge-bucket_replication_failed_size_bucket=turboscan
minio,{{ HOSTNAME }}.minio.gauge-bucket_replication_pending_count_bucket=turboscan
minio,{{ HOSTNAME }}.minio.gauge-bucket_replication_pending_size_bucket=turboscan
minio,{{ HOSTNAME }}.minio.gauge-bucket_replication_received_size_bucket=turboscan
minio,{{ HOSTNAME }}.minio.gauge-bucket_replication_successful_size_bucket=turboscan
minio,{{ HOSTNAME }}.minio.gauge-bucket_usage_size_bucket=turboscan
minio,{{ HOSTNAME }}.minio.gauge-disk_storage_available_disk=_data
minio,{{ HOSTNAME }}.minio.gauge-disk_storage_total_disk=_data
minio,{{ HOSTNAME }}.minio.gauge-disk_storage_used_disk=_data
minio,{{ HOSTNAME }}.minio.gauge-go_gc_duration_seconds&quantile=0
minio,{{ HOSTNAME }}.minio.gauge-go_gc_duration_seconds&quantile=0.25
minio,{{ HOSTNAME }}.minio.gauge-go_gc_duration_seconds&quantile=0.5
minio,{{ HOSTNAME }}.minio.gauge-go_gc_duration_seconds&quantile=0.75
minio,{{ HOSTNAME }}.minio.gauge-go_gc_duration_seconds&quantile=1
minio,{{ HOSTNAME }}.minio.gauge-go_gc_duration_seconds&sum
minio,{{ HOSTNAME }}.minio.gauge-go_goroutines
minio,{{ HOSTNAME }}.minio.gauge-go_info_version=go1.16.3
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_alloc_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_buck_hash_sys_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_gc_cpu_fraction
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_gc_sys_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_heap_alloc_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_heap_idle_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_heap_inuse_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_heap_objects
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_heap_released_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_heap_sys_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_last_gc_time_seconds
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_mcache_inuse_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_mcache_sys_bytes
minio,{{ HOSTNAME }}.minio.gauge-go_memstats_mspan_inuse_bytes
